year,MSA,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
2008,"Grand Rapids-Wyoming, MI",52.2,12.5,32.1,12.8,76.5,17.1,14.4,147000,2.3
2008,"Greensboro-High Point, NC",49.3,17.1,29.3,8.5,72.6,19.9,14.1,138600,6.4
2008,"Harrisburg-Carlisle, PA",50.7,11,27.9,6.2,78.2,16,9.5,168700,3.6
2008,"Hartford-West Hartford-East Hartford, CT",48.8,11.6,33.9,7.3,74,19.6,9.5,266500,4.2
2008,"Honolulu, HI",51.1,9.5,25.5,6.8,74.5,17.7,8.5,574100,2
2008,"Houston-Sugar Land-Baytown, TX",51.5,19.9,32.6,7,72.9,19.2,13.6,142400,7.8
2008,"Indianapolis-Carmel, IN",51.4,11.3,35.8,7.4,75.1,18.8,11.5,147200,7.4
2008,"Jackson, MS",46,14.1,48.2,13.1,66.3,27.7,18.2,132900,14.1
2008,"Jacksonville, FL",50.1,12.4,28.9,6.7,73.3,20.3,10.6,204900,9.7
2008,"Knoxville, TN",52.3,13,28.9,9.6,79.3,15.8,13.4,155600,5.8
2008,"Lakeland-Winter Haven, FL",55.1,17.9,40.1,9.2,76.1,18.6,15.4,155200,7.6
2008,"Lancaster, PA",56.1,18,21.3,5.5,81.5,13.1,9.4,191500,1.4
2008,"Las Vegas-Paradise, NV",48.3,16.8,29.8,5.4,71.6,19.1,10.8,273300,7.3
2008,"Little Rock-North Little Rock-Conway, AR",50.3,11.9,42.9,10.3,71.2,22.1,15.4,134000,9.5
2008,"Los Angeles-Long Beach-Santa Ana, CA",45.5,23.2,34.7,4.6,69.7,20.8,14,553900,6.8
2008,"Madison, WI",50.1,6,24.4,5.1,80.4,13.5,10.9,232600,2.5
2008,"McAllen-Edinburg-Mission, TX",57.1,41.7,28.9,29,71.9,23.6,35.2,72300,7
2008,"Memphis, TN-MS-AR",43.9,15.9,50.4,14.2,63.7,29,17.3,141300,12.6
2008,"Miami-Fort Lauderdale-Pompano Beach, FL",46.1,17.3,36.1,8.8,69.5,22.3,13.8,275500,7.6
2008,"Milwaukee-Waukesha-West Allis, WI",47.8,11.1,39.4,7.5,72.3,21.2,11.8,212200,4.9
2008,"Minneapolis-St. Paul-Bloomington, MN-WI",52.3,7.3,28,5,79,14.8,8.3,247500,2.7
2008,"Modesto, CA",50.2,24.9,35.3,7.9,73.4,17.9,14.2,276100,6
2008,"New Orleans-Metairie-Kenner, LA",42.2,16.4,52.2,12.6,69.4,23.2,14.4,184200,22.4
2008,"New York-Northern New Jersey-Long Island, NY-NJ-PA",46.5,16.2,29.1,9,70,22.8,12.3,462700,4.5
2008,"Ogden-Clearfield, UT",58.2,7.7,11.5,5.2,82.8,12.6,7.8,214100,1.7
2008,"Oklahoma City, OK",50.2,12.9,28.6,9.9,74.4,18.7,14.4,122300,6.3
2008,"Omaha-Council Bluffs, NE-IA",52.5,9,32.6,7.7,76.8,15.4,10.7,145700,6
2008,"Orlando-Kissimmee, FL",49.2,12.5,34.3,5.8,72.9,19.6,11.9,232200,7.9
2008,"Oxnard-Thousand Oaks-Ventura, CA",52.1,18,31.9,4,76.5,16,8.4,566200,3.9
2008,"Palm Bay-Melbourne-Titusville, FL",51.3,9.8,34.3,5.4,78.3,15,10.4,193900,4.1
2008,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",47.1,12.4,39.2,7.9,71.8,21,11.5,254400,9.1
2008,"Phoenix-Mesa-Scottsdale, AZ",48.7,16.3,32.4,6.9,74.8,17,13.5,244100,6.6
2008,"Pittsburgh, PA",50.3,9.2,37.7,9.5,75.7,18.4,11.9,119400,5.2
