MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2013,46.7,10,40.1,17.1,71.8,21.2,15.9,188100,7
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2014,46.1,9.6,32.2,16,70.4,21.8,15.4,190400,6.3
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2015,46.2,9.5,39.8,15.7,72.4,20.1,14,198600,9.8
"Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI",MILWAUKEE_WI,2016,45.2,8.7,39.1,14.9,71.3,21,13.9,204000,9.9
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2006,52.4,7.8,24.6,4.7,78.6,15.1,8.9,242100,3.5
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2007,52.6,7.5,27.4,4.5,77.9,15.6,8.4,244700,2.8
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2008,52.3,7.3,28,5,79,14.8,8.3,247500,2.7
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2009,51.5,7.5,24.8,6.1,79,15.2,9.9,234000,1.7
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2010,50.9,7,28.3,7.3,77.6,15.9,10.9,225500,2.4
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2011,50.9,7.2,29.3,8.1,77.3,16,11,210300,1.8
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2012,51.3,6.8,23.8,8.9,77.3,16.2,10.7,203700,2.2
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2013,51,7,28.5,8.9,77.7,16.1,10.3,206100,2.5
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2014,50.7,6.8,26,9.1,77.9,15.6,10.3,216400,1.8
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2015,51.3,6.8,24.8,8.7,78.3,14.9,9.3,231800,2.7
"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI",MINNEAPOLIS_MN,2016,51,6.5,25.6,7.8,78.8,14.4,8.8,240500,2.2
"Modesto, CA","Modesto, CA",MODESTO_CA,2007,49.1,24.2,46.1,5.5,73.7,17.6,13.5,358500,5.2
"Modesto, CA","Modesto, CA",MODESTO_CA,2008,50.2,24.9,35.3,7.9,73.4,17.9,14.2,276100,6
"Modesto, CA","Modesto, CA",MODESTO_CA,2009,51.4,25.6,31.4,9.4,71.4,19.6,17,196800,8.9
"Modesto, CA","Modesto, CA",MODESTO_CA,2010,50.1,24.1,33.8,12,70.2,20.4,19.9,176800,5.6
"Modesto, CA","Modesto, CA",MODESTO_CA,2011,48.2,24.1,36.7,14.7,68.8,22,23.8,161900,6.5
"Modesto, CA","Modesto, CA",MODESTO_CA,2012,48.6,22.2,33.8,16.7,70.1,20.5,20.3,159800,7.3
"Modesto, CA","Modesto, CA",MODESTO_CA,2013,46.3,22.8,43.4,16.6,66.8,23.2,22.1,175000,6.3
"Modesto, CA","Modesto, CA",MODESTO_CA,2014,48.9,21.6,31.7,16.1,71.6,20.4,18,216000,6
"Modesto, CA","Modesto, CA",MODESTO_CA,2015,46.5,22.8,39.2,16.5,67.7,21,19.7,243500,7.3
"Modesto, CA","Modesto, CA",MODESTO_CA,2016,49.5,23.6,31.9,14.6,70.9,19.4,14.2,274300,6.3
"Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",NASHVILLE_TN,2012,49.1,11.8,32.6,14.1,75.1,18.6,14.3,172300,5.1
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2009,46.7,12.4,26.9,10.2,71.8,21.8,12.1,272500,3.8
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2010,45.1,11.9,35.5,12.7,70.5,23.2,11.7,269200,5
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2011,44.5,12,44.7,13.8,68.4,24.7,13.2,254200,6.2
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2012,45.7,11.8,35.7,15,70.7,22.3,13.5,242100,4.1
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2013,44.5,10.2,44.4,14.2,71.1,23,12.9,242000,3.3
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2014,45,10.5,25,15.8,73.1,19.8,13.1,242700,3.1
"New Haven-Milford, CT","New Haven-Milford, CT",NEW_HAVEN_CT,2016,43.2,10.3,39.2,15.5,70.1,22.8,11.2,247600,3.7
"New Orleans-Metairie-Kenner, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2006,47,17.4,41.3,30.6,71.8,20.3,14.8,170200,21.7
"New Orleans-Metairie-Kenner, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2007,45,17.6,50.7,8,68.9,23.4,14.8,183800,28.2
"New Orleans-Metairie-Kenner, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2008,42.2,16.4,52.2,12.6,69.4,23.2,14.4,184200,22.4
"New Orleans-Metairie-Kenner, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2009,43.3,15.3,47.8,14.3,66.8,25.5,15.9,181500,21.4
"New Orleans-Metairie-Kenner, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2010,43.2,15.9,42,13.9,65,27.9,17.4,176900,20.8
"New Orleans-Metairie-Kenner, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2011,41.6,15.4,54.1,15.2,63.4,28.5,19.5,173500,23.7
"New Orleans-Metairie, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2013,41.5,15.2,47.6,16.2,63.5,28.3,19.3,173100,19
"New Orleans-Metairie, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2014,41.1,13.7,43.6,14.3,65.6,25.8,18.1,174200,16.8
"New Orleans-Metairie, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2015,40.6,13.8,47.2,13.6,64.6,26.8,18,188300,16.3
"New Orleans-Metairie, LA","New Orleans-Metairie-Kenner, LA",NEW_ORLEANS_LA,2016,41,14.2,52.8,14.8,66.4,25.8,17,188100,18.9
"New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2006,47.2,16.4,27.4,8.1,70,22.6,12.8,458700,5.2
"New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2007,47.2,16,29.5,8,70.4,22.1,12.2,468400,4.5
"New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2008,46.5,16.2,29.1,9,70,22.8,12.3,462700,4.5
"New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2009,46.1,15.7,30.8,10.6,69.8,22.8,12.8,439500,4.1
"New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2010,45.9,15.3,30.9,12,69.1,23.2,13.8,426500,4.7
"New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2011,45.5,15.2,31.4,13.2,68.8,23.4,14.4,410300,4.5
"New York-Newark-Jersey City, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2013,45.4,14.7,30.8,14,69.1,23.1,14.6,392700,3.5
"New York-Newark-Jersey City, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2014,45.6,14.4,29.5,13.6,69.2,23.1,14.6,396700,3.1
"New York-Newark-Jersey City, NY-NJ-PA","New York-Northern New Jersey-Long Island, NY-NJ-PA",NEW_YORK_NY,2016,45.5,13.9,28.2,13.3,70.3,21.9,13.5,426300,3.3
"North Port-Bradenton-Sarasota, FL","North Port-Sarasota-Bradenton, FL",NORTH_PORT_FL,2010,51.3,10.8,51.8,8.7,78.3,16.1,13.6,173000,3.6
"North Port-Bradenton-Sarasota, FL","North Port-Sarasota-Bradenton, FL",NORTH_PORT_FL,2011,53.2,10.8,42.5,9,78.6,15.4,13.4,159900,4.5
"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",NORTH_PORT_FL,2013,50.9,10,33.7,10.4,80.1,15.4,14.4,167700,2.7
"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",NORTH_PORT_FL,2014,53.1,8.6,48,9.1,80.4,14.1,12,183300,3.8
"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",NORTH_PORT_FL,2015,51,9.4,47.9,8.3,78.5,16.4,11.8,208100,4.1
"North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL",NORTH_PORT_FL,2016,51.7,9,46,8.4,79.8,15.1,11.6,227500,4.1
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2007,59.7,8,13.6,5.7,81.8,12.4,7.9,194300,1
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2008,58.2,7.7,11.5,5.2,82.8,12.6,7.8,214100,1.7
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2009,58.5,7.8,17.7,7.1,82.1,12.2,9.1,209700,1.3
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2010,60.9,7.1,16.2,9.4,81.6,12.8,10.2,209900,1.5
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2011,58.9,8.2,14,10.3,80.5,13.8,10.1,197700,1.4
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2012,58.1,6.8,16.4,9.8,81.5,12.8,10.2,190400,0.7
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2013,59.1,6.9,13.8,8.6,82.1,12.2,10.4,199600,1.3
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2014,59.2,6.7,15,8.3,83.1,12.3,9.5,206100,1.7
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2015,58.2,7,22.5,8.1,81,12.6,8.8,216200,2.3
"Ogden-Clearfield, UT","Ogden-Clearfield, UT",OGDEN_UT,2016,58.5,6.7,9.5,7.5,82.3,11.8,8,228100,1.4
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2006,50.9,14.6,33.6,9.8,75.7,17.1,15.1,109600,7
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2007,51.7,13,29.7,8.8,74,19.2,13.5,121100,6.5
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2008,50.2,12.9,28.6,9.9,74.4,18.7,14.4,122300,6.3
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2009,49.9,12.8,29.3,10.9,73.6,18.7,15.2,123400,6.8
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2010,49.9,12.5,34.1,13.3,73.7,20.4,15.9,127400,5.7
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2011,50.1,12.5,37.2,13.4,73.5,18.7,16.6,131800,6.2
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2012,48.8,12.3,29.4,13.4,73.3,19.1,16.2,131300,8
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2013,48.7,13.2,27.4,13.5,72.8,19.2,14.9,137100,5.9
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2014,48.9,11.5,39.4,12.6,73.2,19.2,15.3,139200,5.2
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2015,47.9,12,38.6,11.7,72.2,19.3,14.5,146100,6.8
"Oklahoma City, OK","Oklahoma City, OK",OKLAHOMA_CITY_OK,2016,47.9,11.6,31.9,11.9,74,18.1,14.7,154200,6.7
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2007,53.1,9.8,31.8,7.9,76.2,17.6,10.7,142200,5.7
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2008,52.5,9,32.6,7.7,76.8,15.4,10.7,145700,6
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2009,51.1,9.5,31.7,8.7,76.6,17.7,10.7,143900,3.9
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2010,51.8,8.8,31.1,9.8,76.1,17.1,12.4,146100,4.5
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2011,51.4,8.6,23.4,10,76.7,16.7,12.6,145900,5.8
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2012,49.9,9.3,34.2,10.8,73,19.3,13,144700,4.9
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2013,51,9.4,26.3,10.4,75.1,18.2,12.7,146500,5.3
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2014,50.7,9.4,24.7,9.5,75.1,17.3,11.3,147300,4.1
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2015,51.6,8.6,35.1,9.9,76.7,17.6,12.3,155200,5.5
"Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA",OMAHA_NE,2016,50.3,8.7,30,9.2,75.3,17.8,10.3,164000,3.9
"Orlando-Kissimmee, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2006,51.5,13.3,38.8,5.3,73.5,19.2,11.1,243100,8.1
"Orlando-Kissimmee, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2007,49.8,13.4,39,4.6,71.1,21.2,10.5,246800,7.2
"Orlando-Kissimmee, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2008,49.2,12.5,34.3,5.8,72.9,19.6,11.9,232200,7.9
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2010,47.1,12.9,37.5,11.2,73,20.5,14.7,169000,4.8
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2011,45.6,12.5,44.6,13,70.4,22.8,16,152400,5.6
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2012,44.6,12.4,50,14.5,71.4,21.9,16.9,143200,5
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2013,44.8,12.3,39.7,15.7,72.2,20.9,17.1,151700,3.9
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2014,45.5,11.2,37.2,14.4,72.7,20,16.7,162700,6.8
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2015,45.5,10.2,40.8,15.5,69.6,22,15,176100,5.1
"Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL",ORLANDO_FL,2016,45.4,11.4,51.3,14.9,70.4,21.9,14.7,201600,8.1
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2007,52.9,17.8,29.9,3.4,77.4,16.2,8.5,641300,2.1
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2008,52.1,18,31.9,4,76.5,16,8.4,566200,3.9
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2009,52.4,16.9,31.2,4.8,75.6,16.1,10.4,475900,3.6
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2010,50.1,17.9,29.4,5.7,74.6,17.7,10.7,458200,2.2
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2011,50.6,17.1,24.4,6.3,76.1,15.9,11.3,433100,1.8
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2012,50.2,17.3,29.1,7.5,74.9,17.9,11.5,413100,2.5
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2013,50.3,16.6,37.2,6.6,76.2,16.4,11.9,443700,4
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2014,50.2,16.4,29,6.7,75.3,17,11.3,483100,2.4
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2015,50.1,17.1,33.4,8,75.7,17.3,9.6,528700,2.8
"Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",OXNARD_CA,2016,48.5,15.9,34.5,7,75.7,16.6,9.5,561400,3.6
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2007,52.2,9.9,39.9,3.6,78.2,14.8,8.3,202600,5.9
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2008,51.3,9.8,34.3,5.4,78.3,15,10.4,193900,4.1
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2009,53.4,9.3,29.8,8,78.9,15.3,11.2,167500,4.8
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2010,51.9,8.9,29.7,10,77.2,16.6,13.4,149100,3.7
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2011,47.3,10.7,27.3,12.1,74.5,18.6,14,134700,2.7
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2012,47.7,10.1,32.1,12.2,73.9,19.7,14.7,126000,5.4
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2013,48.2,9.5,40.1,13.7,74.2,19.9,15,135900,3.6
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2014,49.4,8.4,36.7,11.8,74.6,18.9,14.4,149400,3.4
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2015,46.7,8.2,56.6,10,73.9,19.2,13.2,158800,4.3
"Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL",PALM_BAY_FL,2016,49.5,8.1,51.8,10.8,76.5,17.3,15,175600,3.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2006,46.6,13.5,38.5,6.6,71.7,21.3,11.8,230300,9.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2007,47.2,12.9,36.1,6.9,71.7,21.2,11.5,240300,9.5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2008,47.1,12.4,39.2,7.9,71.8,21,11.5,254400,9.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2009,45.9,11.8,36.9,8.9,72,21.2,11.9,248100,7.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2010,45.7,11.6,40,10.3,71.2,21.7,12.7,246300,7.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2011,44.9,11.3,38.1,12,71,21.8,13.5,237900,8.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2012,45.1,10.9,41.1,13,70.9,22.2,13.4,235100,8.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2013,44.4,10.5,38.3,12.2,70.9,22.1,13.5,233600,7.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2014,44.8,10.5,43.2,12.8,70.8,22,13.4,234400,7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2015,44.8,10.1,37.2,12.7,70.5,22.3,13.1,240900,7.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PHILADELPHIA_PA,2016,44.7,9.8,39.9,12.6,70.7,21.7,12.9,245600,7.9
"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2006,50.3,16.1,31.8,5.5,74.9,16.8,12.7,266300,8.7
"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2007,49.6,16.6,35.1,5.7,75.2,17.1,13,260300,8.2
"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2008,48.7,16.3,32.4,6.9,74.8,17,13.5,244100,6.6
"Phoenix-Mesa-Glendale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2010,49.1,14,40.7,11.9,73.3,18.5,16.3,172900,5.5
"Phoenix-Mesa-Glendale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2011,48.1,13.7,37.3,12,71.8,19.7,17.4,155600,4.9
"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2013,47.2,13.5,37.9,12.3,72.5,19.3,17.6,177900,4.8
"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2015,46,13.5,35.1,11.4,72.3,19,16.2,219100,4.5
"Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ",PHOENIX_AZ,2016,46.9,12.9,33.7,11,72.4,18.7,15,231000,5.5
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2006,50.4,10.4,27.4,7.9,76.8,17.1,11.7,111100,4.4
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2007,50.8,10.1,32,8.4,76.2,18.1,11.2,116100,4.3
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2008,50.3,9.2,37.7,9.5,75.7,18.4,11.9,119400,5.2
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2009,49.1,9,35.4,10.6,75.9,18.3,12.3,120600,4.7
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2010,48.2,8.7,28.1,11.8,75.4,18.1,12.2,122200,4.7
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2011,47.9,8.1,39.3,12.8,74.2,19.4,12.6,127300,3.8
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2012,48.6,7.8,36.4,12.6,76.2,17.5,12.1,124300,4.2
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2013,48.3,7.5,30.8,12,75.6,18.3,12.8,130700,4.1
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2014,48.3,7,32.9,12.5,75.3,18.1,12.4,134700,5.4
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2015,48.6,7,36.2,13.1,75.6,18,12.3,143200,4.7
"Pittsburgh, PA","Pittsburgh, PA",PITTSBURGH_PA,2016,48.3,6.5,35.3,12.4,76.5,17.1,10.8,148600,5.1
"Portland-South Portland-Biddeford, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2007,53.2,8.4,27.8,8.4,80.2,14.6,8.8,241300,1.2
"Portland-South Portland-Biddeford, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2008,52.3,8,29.6,10.6,79,14.9,10,245200,2.1
"Portland-South Portland-Biddeford, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2009,52.1,7.5,24.9,10.4,79.5,14.8,8.4,237100,2.5
"Portland-South Portland-Biddeford, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2010,51.6,7.4,38.2,11.7,77.9,15.6,10.3,235500,1.9
"Portland-South Portland-Biddeford, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2011,50.9,6.9,26.1,13.1,78.3,14.7,11.5,230400,1
"Portland-South Portland, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2013,50.5,6.4,34.9,13.8,78.7,15.1,11.4,232300,1.2
"Portland-South Portland, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2014,50.4,6.5,45.5,11.6,76.2,15.8,11,238700,1.3
"Portland-South Portland, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2015,50.4,5.8,28.7,10.8,79.4,14,9.6,245800,0.8
"Portland-South Portland, ME","Portland-South Portland-Biddeford, ME",PORTLAND_ME,2016,49.7,5.7,21.4,10.1,79.3,13.8,9.1,251300,1.5
"Portland-Vancouver-Beaverton, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2006,50.5,10.9,34,8.9,76.9,16.2,11.5,268600,2.3
"Portland-Vancouver-Beaverton, OR-WA","Portland-Vancouver-Beaverton, OR-WA",PORTLAND_OR,2007,50.3,10.5,25.2,8.3,77.2,16.3,11.1,299000,2.2
