MSA_orig,MSA,MSA_abbr,year,now_married_except_separated,less_than_high_school_diploma,unmarried_portion_of_women_15_to_50_years_who_had_a_birth_in_past_12_months,households_with_food_stamp_snap_benefits,percentage_married_couple_family,percentage_female_householder_no_husband_present_family,poverty_all_people,house_median_value_(dollars),murder_per_100_k
"Boise City-Nampa, ID","Boise City-Nampa, ID",BOISE_ID,2007,57.8,10.6,24.5,5.6,79.5,13.6,10.3,207800,3.6
"Boise City-Nampa, ID","Boise City-Nampa, ID",BOISE_ID,2008,55.7,11.4,24,7.1,79.8,13.4,11.4,203900,0.8
"Boise City-Nampa, ID","Boise City-Nampa, ID",BOISE_ID,2009,55.9,10.3,13.6,8.9,79.9,13,14.3,179800,1.6
"Boise City-Nampa, ID","Boise City-Nampa, ID",BOISE_ID,2010,55.1,11.1,30.4,12,79.1,14.5,16.2,173200,1.6
"Boise City-Nampa, ID","Boise City-Nampa, ID",BOISE_ID,2011,54.9,10.8,29.7,14.5,77.9,15.3,16.2,157700,1.3
"Boise City, ID","Boise City-Nampa, ID",BOISE_ID,2013,53.2,9.7,16.1,13.4,78,14.1,16.9,162800,0.9
"Boise City, ID","Boise City-Nampa, ID",BOISE_ID,2014,53.7,8.7,21.2,11,78.1,13.8,13.9,173200,1.7
"Boise City, ID","Boise City-Nampa, ID",BOISE_ID,2015,50.1,8.5,29.5,10.7,78.6,15.5,13.4,193100,1.8
"Boise City, ID","Boise City-Nampa, ID",BOISE_ID,2016,53.2,8.6,24.8,9.7,79.9,13.9,12.7,207600,2.5
"Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2007,47.9,10.2,22.1,5.5,75.7,18.3,9.2,396400,2.8
"Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2008,47.8,10.1,28.1,6.3,75.9,18,9.2,385100,2.6
"Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2009,46.8,9.4,27.3,7.8,76.6,17.3,9.3,369200,2.4
"Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2010,47.2,9.4,28.3,9.4,74.9,18.8,10.3,365200,3.5
"Boston-Cambridge-Quincy, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2011,48.1,9.4,28.8,10.3,75.2,18.9,10.7,356100,2.8
"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2013,47.1,8.8,26,11.3,74.8,19.1,10.4,363200,1.8
"Boston-Cambridge-Newton, MA-NH","Boston-Cambridge-Quincy, MA-NH",BOSTON_MA,2016,46.9,8.6,26.7,10.4,74.6,18.4,9.6,412700,1.9
"Bradenton-Sarasota-Venice, FL","Bradenton-Sarasota-Venice, FL",BRADENTON_FL,2008,53,11.5,41.6,4.7,79.4,15.2,11.1,237300,4
